Region,Diameter,Age,Length,Events
Area 1,100,6,0.01067,0
Area 1,100,8,0.03949,1
Area 1,100,9,0.03319,0
Area 1,100,10,0.02947,0
Area 1,100,12,0.2857,2
Area 1,100,14,0.03632,0
Area 1,100,15,0.14847,0
Area 1,100,17,0.05481,0
Area 1,100,22,0.09968,0
Area 1,100,23,0.08095,0
Area 1,100,25,0.08634,0
Area 1,100,28,0.04304,0
Area 1,100,32,0.12639,0
Area 1,100,33,0.03446,0
Area 1,100,36,1.15246,1
Area 1,100,40,0.08855,0
Area 1,100,42,0.387,2
Area 1,100,45,0.09326,0
Area 1,100,47,0.05661,0
Area 1,100,50,0.92552,3
Area 1,100,57,0.04145,0
Area 1,100,59,0.11505,1
Area 1,100,66,0.08577,0
Area 1,100,70,1.01217,2
Area 1,100,71,0.05979,0
Area 1,100,77,0.05526,0
Area 1,100,79,0.03697,0
Area 1,100,85,2.67548,4
Area 1,100,86,0.20786,1
Area 1,100,88,0.15641,0
Area 1,100,91,0.01004,0
Area 1,100,92,0.03916,1
Area 1,100,94,0.03711,1
Area 1,100,95,1.09647,2
Area 1,150,5,0.1614,0
Area 1,150,6,0.25439,0
Area 1,150,7,0.58764,0
Area 1,150,8,1.51916,0
Area 1,150,9,3.51035,2
Area 1,150,10,4.23778,1
Area 1,150,11,2.47708,0
Area 1,150,12,15.17816,19
Area 1,150,13,2.84112,3
Area 1,150,14,0.81962,0
Area 1,150,15,10.02958,12
Area 1,150,16,1.10073,1
Area 1,150,17,0.56878,0
Area 1,150,18,0.31299,3
Area 1,150,19,0.90425,1
Area 1,150,20,1.29152,4
Area 1,150,21,1.3078,2
Area 1,150,22,30.12305,33
Area 1,150,23,1.57863,1
Area 1,150,24,0.21012,0
Area 1,150,25,1.45259,0
Area 1,150,26,0.22081,0
Area 1,150,27,0.45331,0
Area 1,150,28,0.20356,0
Area 1,150,29,0.02658,0
Area 1,150,31,0.1457,0
Area 1,150,32,24.38401,20
Area 1,150,33,0.22906,0
Area 1,150,34,0.38886,4
Area 1,150,35,1.23918,1
Area 1,150,36,45.15879,66
Area 1,150,37,0.47115,0
Area 1,150,38,1.08946,0
Area 1,150,39,0.88738,5
Area 1,150,40,0.78767,1
Area 1,150,42,29.8059,49
Area 1,150,43,0.97908,1
Area 1,150,44,0.15559,0
Area 1,150,45,0.15576,0
Area 1,150,50,36.65684,61
Area 1,150,55,1.57026,1
Area 1,150,57,0.23707,0
Area 1,150,59,0.54612,2
Area 1,150,63,0.1289,0
Area 1,150,70,39.4676,91
Area 1,150,71,5.75876,4
Area 1,150,77,0.44432,2
Area 1,150,79,0.04855,1
Area 1,150,85,54.0854,88
Area 1,150,86,0.10311,0
Area 1,150,88,0.42862,0
Area 1,150,91,0.16734,0
Area 1,150,92,0.02772,0
Area 1,150,93,0.06854,0
Area 1,150,94,0.39353,2
Area 1,150,95,15.68933,42
Area 1,150,100,0.0068,0
Area 1,225,5,0.00727,0
Area 1,225,6,0.21827,0
Area 1,225,7,0.2494,0
Area 1,225,8,0.05862,0
Area 1,225,9,0.84593,1
Area 1,225,10,0.9356,0
Area 1,225,11,1.49106,0
Area 1,225,12,26.5905,13
Area 1,225,13,0.8801,0
Area 1,225,14,0.51102,0
Area 1,225,15,8.42174,18
Area 1,225,17,0.60894,1
Area 1,225,18,0.34641,0
Area 1,225,19,0.8907,1
Area 1,225,20,0.9189,1
Area 1,225,21,0.95532,0
Area 1,225,22,23.55822,18
Area 1,225,23,2.32121,0
Area 1,225,24,0.05633,0
Area 1,225,25,2.44334,0
Area 1,225,26,0.14042,0
Area 1,225,27,0.56809,0
Area 1,225,28,0.27935,0
Area 1,225,29,0.49441,0
Area 1,225,31,0.34231,0
Area 1,225,32,46.61684,23
Area 1,225,33,0.25144,0
Area 1,225,34,0.13255,0
Area 1,225,35,0.78069,1
Area 1,225,36,69.63029,60
Area 1,225,37,0.49782,0
Area 1,225,38,0.84406,1
Area 1,225,39,0.91926,0
Area 1,225,40,1.28591,0
